t_s,q_rad,v_rad_s,torque_nm
0.71,0.473344946979483,1.2598929941066284,0.9664194844763179
0.715,0.47965912323967225,1.26283525203785,0.8581459342611666
0.72,0.4859852818838277,1.265231728831099,0.752828829557509
0.725,0.4923207720107559,1.2670980253856399,0.6504167927591986
0.73,0.4986630193223127,1.2684494623113574,0.5508589538335382
0.735,0.505009524736748,1.2693010828870581,0.4541049532536343
0.74,0.511357863016893,1.2696676560289957,0.3601049446593505
0.745,0.5177056814132343,1.269563679268249,0.2688095972541058
0.75,0.5240506983219123,1.2690033817356172,0.18017009794460837
0.755,0.530390701957676,1.268000727152737,0.0941381532305181
0.76,0.5367235490418168,1.2665694168281605,0.010665990850887042
0.765,0.5430471635051027,1.2647228926571727,-0.07029363880586192
0.77,0.5493595352057236,1.2624743401241576,-0.14878746152181943
0.775,0.5556587186622554,1.2598366913063623,-0.22486167829280213
0.78,0.5619428318016451,1.2568226278779389,-0.29856196458852935
0.785,0.568210054722211,1.2534445841131794,-0.3699334698234713
0.79,0.5744586284716504,1.2497147498878922,-0.43902081703221185
0.795,0.5806868538400399,1.2456450736778992,-0.5058681027432872
0.8,0.5868930901678082,1.241247265553666,-0.5705188970455364
0.805,0.5930757541686588,1.2365328001701077,-0.6330162438411691
0.81,0.599233318767412,1.2315129197506467,-0.6934026612798032
0.8150000000000001,0.6053643119527351,1.2261986370646216,-0.7517201423678763
0.8200000000000001,0.611467315644721,1.2206007383971853,-0.8080101557479278
0.8250000000000001,0.6175409645772753,1.21472978651085,-0.8623136466423285
0.8300000000000001,0.6235839451952646,1.208596123597872,-0.9146710379561958
0.835,0.6295949945663781,1.202209874222694,-0.9651222315342727
0.84,0.6355728993076466,1.1955809482536888,-1.0137066095666896
0.845,0.641516494526564,1.1887190437834747,-1.0604630361386151
0.85,0.6474246627767496,1.1816336500371065,-1.1054298589189102
0.855,0.6532963330280869,1.1743340502674564,-1.1486449109829673
0.86,0.6591304796512726,1.1668293246371404,-1.1901455127650689
0.865,0.6649261214167044,1.1591283530863594,-1.2299684741356254
0.87,0.6706823205076347,1.1512398181860517,-1.2681500965988155
0.875,0.6763981815475135,1.1431722079757785,-1.3047261756061879
0.88,0.6820728506414424,1.1349338187857838,-1.3397320029819113
0.885,0.6877055144316558,1.1265327580426956,-1.3732023694554307
